n_iterations,accuracy,precision
10,0.8666666666666667,0.8666666666666667
30,0.9111111111111111,0.9155354449472096
50,0.9333333333333333,0.9345238095238096
70,0.9333333333333333,0.9345238095238096
100,0.9333333333333333,0.9345238095238096
