n_iter,loss,accuracy,precision,w_norm,dw_norm
10,0.23494765348950994,0.9777777777777777,0.9791666666666666,4.559850715545366,
20,0.2011919118694412,0.9555555555555556,0.9555555555555556,4.349647864523061,1.2339589338901809
30,0.18971022635956733,0.9333333333333333,0.9345238095238096,4.284647239688207,1.5062677363221613
50,0.17869708895901545,0.9333333333333333,0.9345238095238096,4.1915930309612754,1.2389309947893872
70,0.18260445691551505,0.9333333333333333,0.9345238095238096,4.0576482299880245,0.528821977188351
100,0.18198126718170674,0.9333333333333333,0.9345238095238096,4.080420923911035,0.03208543535394979
